Part,Value,Device,Package,Description,Mfg,Mfg Part,Mouser Part
BUFAHI,74VHCT245,74LS245DW,SO20W,"Octal BUS TRANSCEIVER, 3-state",Toshiba,74VHCT245AFT(BE),757-74VHCT245AFTBE
BUFALO,74VHCT245,74LS245DW,SO20W,"Octal BUS TRANSCEIVER, 3-state",Toshiba,74VHCT245AFT(BE),757-74VHCT245AFTBE
BUFAMID,74VHCT245,74LS245DW,SO20W,"Octal BUS TRANSCEIVER, 3-state",Toshiba,74VHCT245AFT(BE),757-74VHCT245AFTBE
BUFC,74VHCT245,74LS245DW,SO20W,"Octal BUS TRANSCEIVER, 3-state",Toshiba,74VHCT245AFT(BE),757-74VHCT245AFTBE
BUFDHI,74VHCT245,74LS245DW,SO20W,"Octal BUS TRANSCEIVER, 3-state",Toshiba,74VHCT245AFT(BE),757-74VHCT245AFTBE
BUFDLO1,74VHCT245,74LS245DW,SO20W,"Octal BUS TRANSCEIVER, 3-state",Toshiba,74VHCT245AFT(BE),757-74VHCT245AFTBE
BUFDLO2,74VHCT245,74LS245DW,SO20W,"Octal BUS TRANSCEIVER, 3-state",Toshiba,74VHCT245AFT(BE),757-74VHCT245AFTBE
C1,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C2,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C3,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C4,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C5,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C6,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C7,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C8,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C9,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C10,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C11,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C12,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C13,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C14,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C15,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C16,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C17,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C18,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C19,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C20,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C21,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C22,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C23,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C24,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C25,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C26,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C27,10uF,CPOL-USE2.5-5,"E2,5-5","POLARIZED CAPACITOR, American symbol",Panasonic,ECA-1EM100I,667-ECA-1EM100I
C28,10uF,CPOL-USE2.5-5,"E2,5-5","POLARIZED CAPACITOR, American symbol",Panasonic,ECA-1EM100I,667-ECA-1EM100I
C29,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C30,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C31,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C32,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C33,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C34,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
C35,1uF,C-USC0805,C0805,"CAPACITOR, American symbol",Kemet,C0805C105Z4VACTU,80-C0805C105Z4V
CLOCK,,QG5460,DIL08S,CRYSTAL RESONATOR,,,
CPU,68030,MC68030RC,MPGA128,68xxx PROCESSOR,Motorola,MC68030RCxx,
FPU,68882,MC68881RC,MPGA68,68xxx PROCESSOR,Motorola,MC68882RCxx,
JP1,,JP1Q,JP1,JUMPER,,,
JP2,,JP1Q,JP1,JUMPER,,,
JP3,,JP1Q,JP1,JUMPER,,,
PASTE,ATF1504AS,EPM7128-J84S,S84,EPM70128,Microchip,ATF1504AS-10JU84,556-AF1504AS10JU84
POWER,,L04P,L04P,AMP MT CONNECTOR,TE Connectivity,171826-4,571-1718264
R1,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R2,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R3,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R4,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R5,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R6,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R7,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R8,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R9,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
R10,4k7,R-US_R0805,R0805,"RESISTOR, American symbol",Vishay,CRCW08054K70JNEAC,71-CRCW08054K70JNEAC
